,post_text,followers,friends,favourites,statuses,retweets,label,month,year
0,years since diagnosed anxiety depression today im taking moment reflect far ive come since,84,211,251,837,0,1,8,2015
1,sunday need break im planning spend little time possible,84,211,251,837,1,1,8,2015
2,awake tired need sleep brain ideas,84,211,251,837,0,1,8,2015
3,rt sewhq retro bears make perfect gifts great beginners get stitching octobers sew sale yay httptco,84,211,251,837,2,1,8,2015
4,hard say whether packing lists making life easier reinforcing much still needs movinghouse anxiety,84,211,251,837,1,1,8,2015
5,making packing lists new hobby movinghouse,84,211,251,837,1,1,8,2015
6,point keeping stuff nostalgic reasons cross line plain old hoarding movinghouse,84,211,251,837,1,1,8,2015
7,currently findingboxesofrandomshit packing phase think im closet hoarder,84,211,251,837,0,1,8,2015
8,cant bothered cook take away way lazy,84,211,251,837,0,1,8,2015
9,rt itventsnews itv releases promo video final series downton abbey httptcomcivezr httptcocfbkrrvjis,84,211,251,837,41,1,8,2015
10,also much stuff way way much movinghouse,84,211,251,837,1,1,8,2015
11,never want put one together lotharderthanitlooks httptcoujltcklb,84,211,251,837,0,1,8,2015
12,moving stuff bloomin knackering theres still loads,84,211,251,837,0,1,8,2015
13,back house moving stuff peaceful,84,211,251,837,0,1,8,2015
14,urgh anxiety ffs come breathe,84,211,251,837,0,1,8,2015
15,much stuff way way much massive purge way,84,211,251,837,0,1,8,2015
16,hideous traffic must remember pay closer attention traffic reports,84,211,251,837,0,1,8,2015
17,packing purging feels good,84,211,251,837,0,1,8,2015
18,bampq looking internal doors fun times,84,211,251,837,0,1,8,2015
19,time get many things busy day ahead,84,211,251,837,0,1,8,2015
20,get lie little longer cat buddy,84,211,251,837,0,1,8,2015
21,theres nothing like cocktails exhaustion aid good nights sleep,84,211,251,837,0,1,8,2015
22,great night favourite ladies much needed past days love much,84,211,251,837,0,1,8,2015
23,sat sofa quick rest hour ago need move,84,211,251,837,0,1,8,2015
24,much want pizza right,84,211,251,837,0,1,8,2015
25,always love peter gabriel eyes httptcofoaexmvoid,84,211,251,837,0,1,8,2015
26,busy day ahead need focus im feeling edge derailment right,84,211,251,837,0,1,8,2015
27,even smallest thing still makes heart break doesnt feel like ever goes away,84,211,251,837,0,1,8,2015
28,choosing curtain pole suddenly confusing many choices yes know isnt real problem,84,211,251,837,0,1,8,2015
29,completed house got keys fab day whoop,84,211,251,837,0,1,8,2015
30,rt cphighwycombe catsprotection hi could retweet long stayers sammy suki photographed todaybuckscatsorguk http,84,211,251,837,70,1,8,2015
31,big day today,84,211,251,837,0,1,8,2015
32,lovely pandastory httpstcoggavekymp,84,211,251,837,0,1,8,2015
33,rt sewhq weather outside frightfulbut makes delightful heres sneak peak october issues projects httptco,84,211,251,837,4,1,8,2015
34,thats good news least httpstcoslzaqjr,84,211,251,837,0,1,8,2015
35,headache took nap three hours woke bit confused time day,84,211,251,837,0,1,8,2015
36,rt deliciousmag budget recipes less head dont compromise flavour httptcocgzpxjlrp htt,84,211,251,837,16,1,8,2015
37,rt rspca_official rt ncolondon rspca_official please rt us yr old dog owner getting distraught lost dog http,84,211,251,837,238,1,8,2015
38,rt bbccambs flying displays vintage jets significantly restricted notice caa limited fly pasts,84,211,251,837,1,1,8,2015
39,rt craftsbeautiful happy monday crafters need bit pickmeup get started check httptcoxafwnd,84,211,251,837,4,1,8,2015
40,dont sleep like catsoftwitter httptcosyarrrfa httptcoagjtxf,84,211,251,837,0,1,8,2015
41,truly awful httpstcojilwkco,84,211,251,837,0,1,8,2015
42,dont understand achievepalmyras baalshamin temple blown httptcoxvulgzuq,84,211,251,837,0,1,8,2015
43,rt designtaxi cigarettes made green tea leaves claim help quit smoking httptcofmvazdbis httptcohakwgtofo,84,211,251,837,34,1,8,2015
44,get morning two whole weeks bliss,84,211,251,837,0,1,8,2015
45,feel like invisible hand trying remove eyeballs spoon,84,211,251,837,0,1,8,2015
46,rt designtaxi hair tapestry latest hair trend httptconeqztnqvjj httptcowrjbklcvvo,84,211,251,837,12,1,8,2015
47,feels like shoreham coverage alt media gone beyond news ghoulish,84,211,251,837,0,1,8,2015
48,thomasevansukip mail entirely mo mail online barely news,84,211,251,837,0,1,8,2015
49,offensivebanter awful,84,211,251,837,0,1,8,2015
50,awfulness continues heartbreaking httpstcowdzelwaah,84,211,251,837,0,1,8,2015
51,lazy afternoon snooze kitty cat lazysunday,84,211,251,837,0,1,8,2015
52,pain heartbreak tragedy confusing emotion feel sadness south coast friends shoreham,84,211,251,837,1,1,8,2015
53,pouring rain cambridge sun didnt last long,84,211,251,837,1,1,8,2015
54,rt brightonargus friends worthingutdfc footballers pay tribute teammates httptcodtjkxuoj httptcohdrcajc,84,211,251,837,6,1,8,2015
55,ive done nothing last minute enough need stand stuff lazysunday,84,211,251,837,0,1,8,2015
56,rt craftsbeautiful comfy sunday morning cushion blog post make snug httptcoemsgapbf httptcotiyz,84,211,251,837,1,1,8,2015
57,rt brightonargus diversion route likely remain place day shoreham air crash httptcopnroqnpgi httptcolflo,84,211,251,837,28,1,8,2015
58,jackdineen new media highlights hypocrisy humans tragedy global many choose ignore whats doorstep x,84,211,251,837,0,1,8,2015
59,hope pilot pulls theres enough death today shoreham httpstcowhlqepk,84,211,251,837,1,1,8,2015
60,sarah_booker yorkshireguy keep seeing comments pilot saved true find quite incredible,84,211,251,837,0,1,8,2015
